Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,Holiday,EnergyConsumption,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Hour,Month
25.1394334377269,43.43158120480281,1565.6939992511177,5,1,0,2.774698791658742,0,75.36437339539214,1,0,0,0,0,0,0,1
27.731650520792968,54.225918580233085,1411.064918331917,1,1,1,21.831384152500608,0,83.40185495035139,0,1,0,0,0,0,1,1
28.704276857248125,58.907657743033184,1755.71500922237,2,0,0,6.76467168191291,0,78.27088774061066,0,0,1,0,0,0,2,1
20.080469485298178,50.3716371457499,1452.316318334375,1,0,1,8.623446893471096,0,56.51985048548002,0,0,0,0,0,1,3,1
23.09735925505204,51.40142134361278,1094.1303586981196,9,1,0,3.0719692157166323,0,70.81173246793318,0,0,0,0,0,0,4,1
29.576037393658908,36.82426323380886,1871.7091797360983,6,0,0,17.62668982389795,1,84.32188519433718,0,0,1,0,0,0,5,1
25.13116712267887,35.70962155267958,1607.0012284749637,6,1,0,24.26470232698351,1,76.16579090213895,0,0,0,0,0,0,6,1
23.182844248720983,31.67991978011051,1633.9553295431135,8,0,0,27.51709925003732,1,74.1319061773031,0,0,0,1,0,0,7,1
25.39199937425648,46.399364049557406,1240.309223721734,6,1,0,2.3075954692088576,0,78.20623587095885,0,0,1,0,0,0,8,1
22.2125494242776,32.41846388370173,1705.4203356236917,1,1,0,29.140070981014404,0,77.99221370196022,0,0,0,0,1,0,9,1
28.0648135792427,36.45147178564109,1341.467128540315,2,0,0,0.3522383966403897,1,82.27443448386548,1,0,0,0,0,0,10,1
23.422546256146845,30.527342157466457,1604.4183548074382,6,1,1,19.529548154656723,1,73.27866950427382,0,0,0,1,0,0,11,1
25.388888490671448,47.60101803425757,1244.6189139899486,1,1,0,21.79744359722318,1,84.14477565753458,0,0,0,0,1,0,12,1
20.058737855510586,41.861641594454376,1806.052631578324,2,0,0,6.384949152471242,1,60.0225185622203,0,0,0,0,0,0,13,1
26.731524781805252,37.29787044961106,1419.7490137965287,6,0,0,12.074223142216765,1,81.18318756246354,0,0,0,0,0,0,14,1
22.10024262178738,56.09917871988325,1144.8062949047298,8,0,1,10.900770033732996,0,74.081256288494,0,0,1,0,0,0,15,1
29.32557592878712,56.95417356701815,1620.861781135627,0,1,1,15.453999472973807,0,89.4982076601557,0,0,0,0,0,0,16,1
23.74244749481492,42.24584548342733,1413.595106864955,1,1,0,3.940678287777141,1,72.87244263642421,0,0,1,0,0,0,17,1
27.524189220859466,47.17242967942455,1832.1997785770343,9,1,0,19.68895830922032,0,83.8998965998896,0,0,0,1,0,0,18,1
27.63139001845522,36.14029374467184,1251.553720835332,4,1,1,8.848082816473534,1,82.07757940317406,0,0,0,0,0,1,19,1
28.7049945527175,59.931894786121376,1211.2618021121182,9,1,1,11.703977742489942,1,94.236287728335,0,0,0,0,0,0,20,1
21.10111178256601,30.41800645418693,1677.105260698892,3,0,0,14.51720370832993,1,59.672380432970826,0,0,1,0,0,0,21,1
23.00091980393784,43.63838293291814,1228.3223766902736,1,0,0,4.302844586055179,0,70.23522761734993,0,1,0,0,0,0,22,1
24.74905765950469,57.216848654263046,1253.708860396828,6,1,1,0.6603375462558703,0,78.39420777459377,0,0,0,0,1,0,23,1
26.729367191665855,46.19408776943607,1533.8875228293596,8,1,0,18.5810340057255,0,87.84164465666763,0,0,0,0,0,1,0,1
22.575924329206178,57.7495719227239,1040.2062146036978,8,0,1,8.906945509097325,1,72.92984426206768,0,0,0,0,1,0,1,1
27.011513197244877,52.637571884657305,1701.2553405115032,9,1,1,24.051355077458528,0,86.66909405376278,0,0,0,1,0,0,2,1
26.570000593742623,43.330311963375614,1126.0627981873615,7,0,1,2.9434034323461225,0,80.41142775984329,0,0,0,1,0,0,3,1
21.820077577118944,56.855188125958406,1289.616032810379,3,0,1,25.513774644213942,1,64.21209800102363,0,0,0,0,1,0,4,1
23.220629928291007,46.07387943210247,1649.5103531928776,2,0,1,18.270528189168942,0,74.16033755004982,0,0,0,0,1,0,5,1
28.875374569208283,31.803130453234026,1887.2017226982111,5,1,1,24.46883621156326,1,81.04958057295511,0,0,0,0,1,0,6,1
20.833491610497568,51.14700701801437,1096.7031280679794,1,1,0,21.865100350797228,0,70.30817192579988,0,1,0,0,0,0,7,1
27.46564120140408,34.9409910367269,1491.2879488851015,9,1,0,4.6457386056945404,0,82.28439185280472,0,0,0,1,0,0,8,1
20.623500489834765,50.14503354220139,1036.4623172912152,6,0,1,0.3722012648189066,0,59.847392688307885,0,1,0,0,0,0,9,1
27.31481126572729,42.93605505297437,1876.510298961869,4,1,0,1.1813311411593264,1,82.50403686398842,0,0,0,0,1,0,10,1
27.42511354993544,32.394788065588216,1155.2301001435485,9,1,0,8.166146956672918,1,82.78244589126273,1,0,0,0,0,0,11,1
24.07915813451661,54.09504887445641,1850.3220231803864,7,0,0,21.06081425541792,1,74.67411328167944,0,0,0,0,1,0,12,1
29.91382998898481,53.34075278909026,1924.1861207571112,0,1,0,25.84805422710293,0,86.88913818269737,0,0,0,1,0,0,13,1
24.52137298758392,42.27647348582312,1654.9299772328145,7,1,0,1.6471723322743026,1,78.54242641942929,0,1,0,0,0,0,14,1
21.89878543127921,48.63351462602176,1958.9635358554865,4,1,1,20.21773265658062,1,77.22845715853467,1,0,0,0,0,0,15,1
23.516264720993824,52.37155796010059,1517.168540999046,7,1,0,8.270639173483916,1,73.73515145603137,0,1,0,0,0,0,16,1
27.1481166642526,43.12086624044412,1296.5818068796584,8,1,0,16.99702392488144,1,91.84340824868656,0,1,0,0,0,0,17,1
23.574353632517656,52.85166419960819,1491.880064573067,2,0,0,24.46090952239937,0,73.35070513237227,0,0,0,1,0,0,18,1
20.51618553995076,40.918499706064985,1114.2301237129743,8,0,1,20.489097790934643,1,66.20209750906106,1,0,0,0,0,0,19,1
23.159190043519654,33.08814922387616,1183.4936058135677,6,0,1,15.654792218150218,1,77.85177634998958,0,0,0,0,0,0,20,1
29.98804611564981,51.19663001184678,1516.752703311117,2,1,0,16.10496033318202,0,90.98147610427824,1,0,0,0,0,0,21,1
22.87904856617314,30.35776228999121,1162.659354413115,7,1,1,13.390538929932507,1,81.91707933111346,1,0,0,0,0,0,22,1
24.617958714158057,49.04122554864104,1666.0436474922356,6,0,1,21.600154740134737,1,70.22461753933254,0,0,0,0,1,0,23,1
27.35268110983973,36.25924919238827,1024.9989858937445,6,0,1,22.17502218192356,0,88.73376918202806,0,1,0,0,0,0,0,1
29.4367895074536,48.84844941310104,1234.0853680866385,2,0,0,6.662874484173437,1,76.55502512631448,0,0,0,1,0,0,1,1
21.75402642665544,45.5386430923988,1514.8270370715445,4,0,0,9.846127121574138,0,62.05505493579667,0,0,0,0,1,0,2,1
22.124213759030667,47.34391565524731,1919.119996208746,6,0,0,5.352018638001322,0,62.00189386466329,0,0,0,0,0,0,3,1
21.32477612950562,33.61505670735282,1857.2683694193847,9,1,1,13.52386674371843,1,80.45212742101157,0,0,0,0,1,0,4,1
22.086811922474794,43.83891693254598,1325.6002039883774,5,0,0,12.274820353976573,0,64.71822006448231,1,0,0,0,0,0,5,1
29.95687944543529,56.78880560031188,1864.7323664037672,8,1,0,4.93873793676906,1,91.87196450897233,0,0,0,0,0,0,6,1
22.466458319173128,45.228409421067546,1902.8038240327676,6,0,1,0.5770304431135131,0,69.69226303092958,0,1,0,0,0,0,7,1
21.10053158610883,52.70577939457823,1896.816079175297,7,0,0,25.007682077563224,0,63.85097612559908,0,0,0,0,1,0,8,1
25.02320238265005,43.58649903471925,1434.5263111079676,1,0,0,2.1751376627840524,1,68.80528577996184,0,0,0,1,0,0,9,1
24.56121815223363,37.03931988895259,1689.4554548228862,3,0,0,21.331712339087563,1,76.30130928798148,0,0,0,1,0,0,10,1
